away_team,away_score,home_team,home_score,id
MIN,22,GB,26,221208009
CHI,9,MIA,27,221209015
SEA,30,ATL,24,221215001
SD,13,BUF,20,221215002
NYJ,13,CHI,20,221215003
JAX,29,CIN,15,221215004
IND,28,CLE,23,221215005
TB,23,DET,20,221215008
OAK,17,MIA,23,221215015
MIN,32,NO,31,221215018
WSH,21,PHI,34,221215021
CAR,14,PIT,30,221215023
BAL,23,HOU,19,221215034
KC,24,DEN,31,221215007
DAL,7,NYG,37,221215019
GB,20,SF,14,221215025
ARI,28,STL,30,221215014
NE,7,TEN,24,221216010
MIA,17,MIN,20,221221016
SF,17,ARI,14,221221022
PHI,27,DAL,3,221221006
DET,15,ATL,36,221222001
NO,13,CIN,20,221222004
BUF,0,GB,10,221222009
NYG,44,IND,27,221222011
SD,22,KC,24,221222012
HOU,10,WSH,26,221222028
CHI,14,CAR,24,221222029
TEN,28,JAX,10,221222030
STL,10,SEA,30,221222026
DEN,16,OAK,28,221222013
CLE,14,BAL,13,221222033
NYJ,30,NE,17,221222017
PIT,17,TB,7,221223027
PHI,7,NYG,10,221228019
KC,0,OAK,24,221228013
CIN,9,BUF,27,221229002
ATL,16,CLE,24,221229005
MIN,38,DET,36,221229008
MIA,24,NE,27,221229017
CAR,10,NO,6,221229018
BAL,31,PIT,34,221229023
DAL,14,WSH,20,221229028
TEN,13,HOU,3,221229034
JAX,13,IND,20,221229011
ARI,7,DEN,37,221229007
GB,17,NYJ,42,221229020
SEA,31,SD,28,221229024
TB,15,CHI,0,221229003
SF,20,STL,31,221230014
NYJ,13,WSH,16,230904028
NE,0,BUF,31,230907002
DEN,30,CIN,10,230907004
IND,9,CLE,6,230907005
ARI,24,DET,42,230907008
MIN,30,GB,25,230907009
SD,14,KC,27,230907012
HOU,21,MIA,20,230907015
STL,13,NYG,23,230907019
BAL,15,PIT,34,230907023
JAX,23,CAR,24,230907029
ATL,27,DAL,13,230907006
CHI,7,SF,49,230907025
NO,10,SEA,27,230907026
OAK,20,TEN,25,230907010
TB,17,PHI,0,230908021
WSH,33,ATL,31,230914001
DET,6,GB,31,230914009
TEN,7,IND,33,230914011
PIT,20,KC,41,230914012
SF,24,STL,27,230914014
HOU,10,NO,31,230914018
MIA,21,NYJ,10,230914020
BUF,38,JAX,17,230914030
CLE,13,BAL,33,230914033
SEA,38,ARI,0,230914022
CAR,12,TB,9,230914027
CIN,20,OAK,23,230914013
NE,31,PHI,10,230914021
DEN,37,SD,13,230914024
CHI,13,MIN,24,230914016
DAL,35,NYG,32,230915019
TB,31,ATL,10,230921001
PIT,17,CIN,10,230921004
MIN,23,DET,13,230921008
NO,12,TEN,27,230921010
JAX,13,IND,23,230921011
NYJ,16,NE,23,230921017
KC,42,HOU,14,230921034
GB,13,ARI,20,230921022
STL,23,SEA,24,230921026
NYG,24,WSH,21,230921028
BAL,24,SD,10,230921024
CLE,13,SF,12,230921025
BUF,7,MIA,17,230921015
OAK,10,DEN,31,230922007
PHI,23,BUF,13,230928002
CIN,21,CLE,14,230928005
ARI,13,STL,37,230928014
SF,7,MIN,35,230928016
TEN,30,PIT,13,230928023
NE,17,WSH,20,230928028
JAX,20,HOU,24,230928034
SD,31,OAK,34,230928013
KC,17,BAL,10,230928033
DET,16,DEN,20,230928007
DAL,17,NYJ,6,230928020
ATL,3,CAR,23,230928029
IND,55,NO,21,230928018
GB,38,CHI,23,230929003
MIN,39,ATL,26,231005001
CIN,16,BUF,22,231005002
OAK,21,CHI,24,231005003
ARI,7,DAL,24,231005006
SEA,13,GB,35,231005009
DEN,23,KC,24,231005012
TEN,30,NE,38,231005017
MIA,23,NYG,10,231005019
NO,13,CAR,19,231005029
SD,21,JAX,27,231005030
WSH,25,PHI,27,231005021
DET,17,SF,24,231005025
CLE,33,PIT,13,231005023
IND,38,TB,35,231006027
OAK,7,CLE,13,231012005
PHI,21,DAL,23,231012006
KC,40,GB,34,231012009
HOU,17,TEN,38,231012010
CAR,23,IND,20,231012011
NYG,6,NE,17,231012017
CHI,13,NO,20,231012018
TB,35,WSH,13,231012028
MIA,24,JAX,10,231012030
PIT,14,DEN,17,231012007
BUF,3,NYJ,30,231012020
BAL,26,ARI,18,231012022
SF,19,SEA,20,231012026
ATL,0,STL,36,231013014
NO,45,ATL,17,231019001
BAL,26,CIN,34,231019004
SD,26,CLE,20,231019005
DAL,38,DET,7,231019008
GB,24,STL,34,231019014
1st Downs,20,Passing 1st downs,14,231019015
DEN,20,MIN,28,231019016
PHI,14,NYG,10,231019019
TEN,37,CAR,17,231019029
NYJ,19,HOU,14,231019034
WSH,7,BUF,24,231019002
TB,7,SF,24,231019025
