,away_team,away_score,home_team,home_score,id
182,ARI,0,KC,49,221201012
183,ATL,30,MIN,24,221201016
184,TEN,32,NYG,29,221201019
185,PIT,25,JAX,23,221201030
186,HOU,3,IND,19,221201011
187,DEN,27,SD,30,221201024
188,STL,3,PHI,10,221201021
189,SEA,24,SF,31,221201025
190,TB,20,NO,23,221201018
191,NYJ,20,OAK,26,221202013
192,SF,31,DAL,27,221208006
193,IND,17,TEN,27,221208010
194,STL,10,KC,49,221208012
195,BUF,17,NE,27,221208017
196,HOU,24,PIT,6,221208023
197,ATL,10,TB,34,221208027
198,NYG,27,WSH,21,221208028
199,CIN,31,CAR,52,221208029
200,CLE,21,JAX,20,221208030
201,DET,20,ARI,23,221208022
202,PHI,27,SEA,20,221208026
203,NO,37,BAL,25,221208033
204,DEN,13,NYJ,19,221208020
205,OAK,27,SD,7,221208024
206,MIN,22,GB,26,221208009
207,CHI,9,MIA,27,221209015
208,SEA,30,ATL,24,221215001
209,SD,13,BUF,20,221215002
210,NYJ,13,CHI,20,221215003
211,JAX,29,CIN,15,221215004
212,IND,28,CLE,23,221215005
213,TB,23,DET,20,221215008
214,OAK,17,MIA,23,221215015
215,MIN,32,NO,31,221215018
216,WSH,21,PHI,34,221215021
217,CAR,14,PIT,30,221215023
218,BAL,23,HOU,19,221215034
219,KC,24,DEN,31,221215007
220,DAL,7,NYG,37,221215019
221,GB,20,SF,14,221215025
222,ARI,28,STL,30,221215014
223,NE,7,TEN,24,221216010
224,MIA,17,MIN,20,221221016
225,SF,17,ARI,14,221221022
226,PHI,27,DAL,3,221221006
227,DET,15,ATL,36,221222001
228,NO,13,CIN,20,221222004
229,BUF,0,GB,10,221222009
230,NYG,44,IND,27,221222011
231,SD,22,KC,24,221222012
232,HOU,10,WSH,26,221222028
233,CHI,14,CAR,24,221222029
234,TEN,28,JAX,10,221222030
235,STL,10,SEA,30,221222026
236,DEN,16,OAK,28,221222013
237,CLE,14,BAL,13,221222033
238,NYJ,30,NE,17,221222017
239,PIT,17,TB,7,221223027
240,PHI,7,NYG,10,221228019
241,KC,0,OAK,24,221228013
242,CIN,9,BUF,27,221229002
243,ATL,16,CLE,24,221229005
244,MIN,38,DET,36,221229008
245,MIA,24,NE,27,221229017
246,CAR,10,NO,6,221229018
247,BAL,31,PIT,34,221229023
248,DAL,14,WSH,20,221229028
249,TEN,13,HOU,3,221229034
250,JAX,13,IND,20,221229011
251,ARI,7,DEN,37,221229007
252,GB,17,NYJ,42,221229020
253,SEA,31,SD,28,221229024
254,TB,15,CHI,0,221229003
255,SF,20,STL,31,221230014
256,NYJ,13,WSH,16,230904028
257,NE,0,BUF,31,230907002
258,DEN,30,CIN,10,230907004
259,IND,9,CLE,6,230907005
260,ARI,24,DET,42,230907008
261,MIN,30,GB,25,230907009
262,SD,14,KC,27,230907012
263,HOU,21,MIA,20,230907015
264,STL,13,NYG,23,230907019
265,BAL,15,PIT,34,230907023
266,JAX,23,CAR,24,230907029
267,ATL,27,DAL,13,230907006
268,CHI,7,SF,49,230907025
269,NO,10,SEA,27,230907026
270,OAK,20,TEN,25,230907010
271,TB,17,PHI,0,230908021
272,WSH,33,ATL,31,230914001
273,DET,6,GB,31,230914009
274,TEN,7,IND,33,230914011
275,PIT,20,KC,41,230914012
276,SF,24,STL,27,230914014
277,HOU,10,NO,31,230914018
278,MIA,21,NYJ,10,230914020
279,BUF,38,JAX,17,230914030
280,CLE,13,BAL,33,230914033
281,SEA,38,ARI,0,230914022
282,CAR,12,TB,9,230914027
283,CIN,20,OAK,23,230914013
284,NE,31,PHI,10,230914021
285,DEN,37,SD,13,230914024
286,CHI,13,MIN,24,230914016
287,DAL,35,NYG,32,230915019
288,TB,31,ATL,10,230921001
289,PIT,17,CIN,10,230921004
290,MIN,23,DET,13,230921008
291,NO,12,TEN,27,230921010
292,JAX,13,IND,23,230921011
293,NYJ,16,NE,23,230921017
294,KC,42,HOU,14,230921034
295,GB,13,ARI,20,230921022
296,STL,23,SEA,24,230921026
297,NYG,24,WSH,21,230921028
298,BAL,24,SD,10,230921024
299,CLE,13,SF,12,230921025
300,BUF,7,MIA,17,230921015
301,OAK,10,DEN,31,230922007
302,PHI,23,BUF,13,230928002
303,CIN,21,CLE,14,230928005
304,ARI,13,STL,37,230928014
305,SF,7,MIN,35,230928016
306,TEN,30,PIT,13,230928023
307,NE,17,WSH,20,230928028
308,JAX,20,HOU,24,230928034
309,SD,31,OAK,34,230928013
310,KC,17,BAL,10,230928033
311,DET,16,DEN,20,230928007
312,DAL,17,NYJ,6,230928020
313,ATL,3,CAR,23,230928029
314,IND,55,NO,21,230928018
315,GB,38,CHI,23,230929003
316,MIN,39,ATL,26,231005001
317,CIN,16,BUF,22,231005002
318,OAK,21,CHI,24,231005003
319,ARI,7,DAL,24,231005006
320,SEA,13,GB,35,231005009
321,DEN,23,KC,24,231005012
322,TEN,30,NE,38,231005017
323,MIA,23,NYG,10,231005019
324,NO,13,CAR,19,231005029
