,first_downs_away,first_downs_passing_away,first_down_rushing_away,first_down_by_penalty_away,third_down_away,fourth_down_away,total_plays_away,total_yards_away,total_drives_away,yards_per_play_away,passing_away,comp_att_away,yards_per_pass_away,int_thrown_away,sack_yards_lost_away,rushing_away,rushing_att_away,yards_per_rush_away,red_zone_att_away,penalty_away,turnovers_away,Fumbles lost,int_thrown_away,defensive_td_away,possession_away,first_downs_home,first_downs_passing_home,first_down_rushing_home,first_down_by_penalty_home,third_down_home,fourth_down_home,total_plays_home,total_yards_home,total_drives_home,yards_per_play_home,passing_home,comp_att_home,yards_per_pass_home,int_thrown_home,sack_yards_lost_home,rushing_home,rushing_att_home,yards_per_rush_home,red_zone_att_home,penalty_home,turnovers_home,Fumbles lost,int_thrown_home,defensive_td_home,possession_home,id
0,13,9,3,1,2-7,0-1,46,219,11,4.8,148,11-23,5.5,1,4-26,71,19,3.7,2-3,4-38,5,4,1,1,20:09,25,8,14,3,4-15,3-5,77,401,12,5.2,191,16-25,7.1,1,2-13,210,50,4.2,4-6,3-20,1,0,1,0,39:51,401437756
0,19,12,5,2,6-15,1-1,67,348,11,5.2,250,19-37,6.6,2,1-4,98,29,3.4,3-3,7-64,2,0,2,0,29:59,20,11,7,2,6-12,1-1,60,297,12,5.0,178,17-26,6.1,4,3-26,119,31,3.8,2-2,8-55,4,0,4,0,30:01,401437757
0,22,14,7,1,4-11,1-1,62,326,10,5.3,201,19-36,5.4,1,1-12,125,25,5.0,2-3,4-31,2,1,1,0,21:50,22,7,13,2,6-13,1-2,64,296,10,4.6,134,20-29,4.3,2,2-10,162,33,4.9,2-4,9-70,2,0,2,0,38:10,401437750
0,22,15,5,2,8-16,1-2,67,419,12,6.3,338,27-39,8.5,0,1-2,81,27,3.0,3-5,6-61,1,1,0,0,31:39,16,11,2,3,4-12,0-2,53,346,12,6.5,215,26-35,5.5,2,4-31,131,14,9.4,2-3,9-67,2,0,2,0,28:21,401437753
0,20,10,8,2,6-15,0-2,70,338,12,4.8,206,23-32,6.2,1,1-1,132,37,3.6,2-5,7-61,1,0,1,0,38:35,11,8,3,0,2-10,1-3,51,220,11,4.3,180,22-36,4.7,2,2-17,40,13,3.1,1-1,6-76,3,1,2,1,21:25,401437758
0,17,6,10,1,3-11,0-0,58,271,11,4.7,104,15-21,4.2,0,4-32,167,33,5.1,1-2,7-75,1,1,0,1,33:11,24,12,10,2,6-14,1-1,71,443,14,6.2,244,21-35,6.8,1,1-7,199,35,5.7,3-4,4-40,2,1,1,0,36:49,401437759
0,12,7,5,0,3-11,1-2,48,299,11,6.2,214,17-25,7.6,0,3-23,85,20,4.3,2-3,7-50,1,1,0,0,25:08,25,11,14,0,7-14,0-0,74,385,11,5.2,173,21-34,4.8,0,2-15,212,38,5.6,2-5,4-25,0,0,0,1,34:52,401437760
0,27,17,8,2,12-17,0-1,77,417,11,5.4,228,23-37,5.7,1,3-21,189,37,5.1,5-6,4-32,1,0,1,0,38:38,27,23,2,2,6-10,0-0,59,376,11,6.4,373,39-52,7.0,0,1-12,3,6,0.5,4-4,5-40,2,2,0,0,21:22,401437470
0,21,16,3,2,5-15,2-2,73,257,10,3.5,200,32-48,3.6,1,7-54,57,18,3.2,0-3,1-5,2,1,1,0,34:34,13,9,4,0,5-12,0-1,49,327,9,6.7,239,16-27,8.9,0,0-0,88,22,4.0,0-1,4-25,0,0,0,1,25:26,401437761
0,19,14,4,1,4-16,0-0,73,306,13,4.2,200,26-41,4.3,2,6-51,106,26,4.1,0-2,8-64,2,0,2,0,34:36,18,11,6,1,2-15,1-2,71,375,14,5.3,250,21-39,5.8,2,4-24,125,28,4.5,0-4,7-49,2,0,2,0,32:51,401437762
0,24,12,8,4,6-11,0-1,59,338,8,5.7,213,21-27,7.6,0,1-4,125,31,4.0,3-4,6-63,0,0,0,0,32:11,22,15,5,2,4-10,0-1,61,301,9,4.9,207,25-39,5.0,0,2-15,94,20,4.7,2-3,7-37,0,0,0,0,27:49,401435640
0,23,19,2,2,5-15,0-3,72,364,11,5.1,310,34-52,5.6,1,3-17,54,17,3.2,0-4,6-54,2,1,1,0,36:08,21,15,4,2,5-9,0-0,54,552,13,10.2,432,22-36,12.0,1,0-0,120,18,6.7,1-4,5-28,2,1,1,0,23:52,401437763
0,26,13,9,4,3-10,0-2,69,465,11,6.7,227,22-34,6.5,0,1-1,238,34,7.0,2-5,4-17,0,0,0,0,29:58,27,15,11,1,4-10,0-1,65,443,10,6.8,230,21-34,6.8,1,0-0,213,31,6.9,3-4,6-65,1,0,1,0,30:02,401437764
0,14,9,4,1,4-10,1-1,47,271,8,5.8,193,15-21,8.4,0,2-15,78,24,3.3,2-2,6-40,1,1,0,0,23:16,29,18,10,1,12-15,0-0,74,429,9,5.8,312,33-42,7.3,1,1-7,117,31,3.8,4-4,7-70,1,0,1,0,36:44,401437766
0,17,9,6,2,4-12,0-6,64,312,10,4.9,211,19-35,5.7,1,2-18,101,27,3.7,0-3,7-82,2,1,1,0,28:31,22,11,7,4,3-9,0-0,56,364,9,6.5,188,17-21,9.0,1,0-0,176,35,5.0,0-4,6-46,1,0,1,1,31:29,401437767
0,15,9,4,2,1-9,0-1,49,396,13,8.1,245,16-25,8.8,0,3-23,151,21,7.2,0-1,12-85,1,1,0,0,22:25,26,9,14,3,8-14,0-0,74,438,14,5.9,203,17-25,7.8,1,1-6,235,48,4.9,3-3,6-57,2,1,1,0,37:35,401437768
0,19,8,8,3,4-11,0-2,62,295,12,4.8,158,19-34,4.4,1,2-8,137,26,5.3,2-3,11-102,2,1,1,0,29:02,21,9,8,4,5-11,0-1,56,322,13,5.8,187,14-21,8.1,0,2-23,135,33,4.1,5-6,5-105,0,0,0,0,30:58,401437769
0,19,7,10,2,6-14,1-1,61,261,9,4.3,110,14-25,3.7,0,5-37,151,31,4.9,2-2,6-55,0,0,0,0,30:34,26,17,7,2,9-16,0-1,75,420,10,5.6,351,35-52,6.8,0,0-0,69,23,3.0,2-5,6-45,0,0,0,0,29:26,401437770
