,away_team,away_score,home_team,home_score,id
0,DAL,22,LAR,10,401437774
0,PHI,20,ARI,17,401437773
0,CIN,17,BAL,19,401437775
0,LV,29,KC,30,401437776
0,WSH,12,CHI,7,401437777
0,SF,14,ATL,28,401437778
0,NE,38,CLE,15,401437779
0,NYJ,27,GB,10,401437780
0,JAX,27,IND,34,401437781
0,MIN,24,MIA,16,401437782
0,CIN,30,NO,26,401437783
0,BAL,20,NYG,24,401437784
0,TB,18,PIT,20,401437785
0,CAR,10,LAR,24,401437786
0,ARI,9,SEA,19,401437787
0,BUF,24,KC,20,401437788
0,DAL,17,PHI,26,401437789
0,DEN,16,LAC,19,401437790
0,NO,34,ARI,42,401437791
0,ATL,17,CIN,35,401437794
0,DET,6,DAL,24,401437795
0,IND,10,TEN,19,401437797
0,GB,21,WSH,23,401437798
0,TB,3,CAR,21,401437793
0,NYG,23,JAX,17,401437796
0,CLE,20,BAL,23,401437792
0,NYJ,16,DEN,9,401437799
0,HOU,20,LV,38,401437800
0,SEA,37,LAC,23,401437801
0,KC,44,SF,23,401437802
0,PIT,10,MIA,16,401437803
0,CHI,33,NE,14,401437804
0,BAL,27,TB,22,401437805
0,DEN,21,JAX,17,401435641
0,CAR,34,ATL,37,401437806
0,CHI,29,DAL,49,401437807
0,MIA,31,DET,27,401437808
0,ARI,26,MIN,34,401437809
0,LV,0,NO,24,401437810
0,NE,22,NYJ,17,401437811
0,PIT,13,PHI,35,401437812
0,TEN,17,HOU,10,401437813
0,WSH,17,IND,16,401437814
0,SF,31,LAR,14,401437815
0,NYG,13,SEA,27,401437816
0,GB,17,BUF,27,401437817
0,CIN,13,CLE,32,401437818
0,PHI,29,HOU,17,401437819
0,LAC,20,ATL,17,401437820
0,MIA,35,CHI,32,401437821
0,CAR,21,CIN,42,401437822
0,GB,9,DET,15,401437823
0,IND,3,NE,26,401437825
0,BUF,17,NYJ,20,401437826
0,MIN,20,WSH,17,401437827
0,LV,20,JAX,27,401437824
0,SEA,31,ARI,21,401437828
0,LAR,13,TB,16,401437829
0,TEN,17,KC,20,401437830
